caseid,processname,processversion,archiveddate,status
55605,OOFVendorDocProcessing,5.6,21/03/2018_12:23:43;,delete
56287,Project_Creation,1.6.0.3,21/03/2018_12:27:05;,delete
55606,Project_Creation,1.6.0.3,21/03/2018_12:27:06;,delete
55607,OOFVendorDocProcessing,5.6,21/03/2018_12:27:06;,delete
55608,Project_Creation,1.6.0.3,21/03/2018_12:28:37;,delete
56288,Project_Creation,1.6.0.3,21/03/2018_12:28:38;,delete
56289,OOFVendorDocProcessing,5.6,21/03/2018_12:28:38;,delete
56290,Project_Creation,1.6.0.3,21/03/2018_12:30:28;,delete
56293,Project_Creation,1.6.0.3,21/03/2018_12:31:06;,delete
56294,Project_Creation,1.6.0.3,21/03/2018_12:32:13;,delete
56295,Project_Creation,1.6.0.3,21/03/2018_12:33:07;,delete
56297,Project_Creation,1.6.0.3,21/03/2018_12:38:42;,delete
56300,VNSP_WF_ORDER_COLLECTION,1.2,21/03/2018_12:56:11;,delete
55619,Project_Creation,1.6.0.3,21/03/2018_13:03:25;,delete
56301,Project_Creation,1.6.0.3,21/03/2018_13:03:31;,delete
55620,OOFVendorDocProcessing,5.6,21/03/2018_13:04:33;,delete
56302,Project_Creation,1.6.0.3,21/03/2018_13:09:54;,delete
55621,Project_Creation,1.6.0.3,21/03/2018_13:09:57;,delete
56303,OOFVendorDocProcessing,5.6,21/03/2018_13:12:03;,delete
56304,Project_Creation,1.6.0.3,21/03/2018_13:16:33;,delete
55622,Project_Creation,1.6.0.3,21/03/2018_13:16:35;,delete
56307,Project_Creation,1.6.0.3,21/03/2018_13:17:17;,delete
56313,Project_Creation,1.6.0.3,21/03/2018_13:18:40;,delete
55623,Project_Creation,1.6.0.3,21/03/2018_13:18:40;,delete
55624,Project_Creation,1.6.0.3,21/03/2018_13:19:47;,delete
56314,OOFVendorDocProcessing,5.6,21/03/2018_13:21:23;,delete
55633,Project_Creation,1.6.0.3,21/03/2018_13:21:51;,delete
55639,Project_Creation,1.6.0.3,21/03/2018_13:23:04;,delete
56315,Project_Creation,1.6.0.3,21/03/2018_13:23:16;,delete
56316,Project_Creation,1.6.0.3,21/03/2018_13:23:16;,delete
55640,Project_Creation,1.6.0.3,21/03/2018_13:23:17;,delete
55642,Project_Creation,1.6.0.3,21/03/2018_13:23:18;,delete
56319,Project_Creation,1.6.0.3,21/03/2018_13:23:19;,delete
56328,Project_Creation,1.6.0.3,21/03/2018_13:45:10;,delete
56337,Project_Creation,1.6.0.3,21/03/2018_13:50:36;,delete
56339,Project_Creation,1.6.0.3,21/03/2018_13:53:01;,delete
55663,Project_Creation,1.6.0.3,21/03/2018_13:54:54;,delete
56341,Project_Creation,1.6.0.3,21/03/2018_14:06:11;,delete
55692,Project_Creation,1.6.0.3,21/03/2018_14:08:52;,delete
55709,Project_Creation,1.6.0.3,21/03/2018_14:08:56;,delete
55730,Project_Creation,1.6.0.3,21/03/2018_14:09:09;,delete
55736,Project_Creation,1.6.0.3,21/03/2018_14:09:12;,delete
56356,Project_Creation,1.6.0.3,21/03/2018_14:09:34;,delete
56363,Project_Creation,1.6.0.3,21/03/2018_14:09:51;,delete
55752,Project_Creation,1.6.0.3,21/03/2018_14:09:53;,delete
56378,Project_Creation,1.6.0.3,21/03/2018_14:09:58;,delete
55760,Project_Creation,1.6.0.3,21/03/2018_14:10:33;,delete
56385,Project_Creation,1.6.0.3,21/03/2018_14:12:18;,delete
56397,Project_Creation,1.6.0.3,21/03/2018_14:14:44;,delete
55779,Project_Creation,1.6.0.3,21/03/2018_14:17:04;,delete
56407,Project_Creation,1.6.0.3,21/03/2018_14:18:37;,delete
56414,Project_Creation,1.6.0.3,21/03/2018_14:21:06;,delete
56415,Project_Creation,1.6.0.3,21/03/2018_14:24:57;,delete
56425,Project_Creation,1.6.0.3,21/03/2018_14:31:47;,delete
56454,Project_Creation,1.6.0.3,21/03/2018_14:36:06;,delete
56453,Project_Creation,1.6.0.3,21/03/2018_14:36:06;,delete
55914,Project_Creation,1.6.0.3,21/03/2018_14:36:07;,delete
56468,Project_Creation,1.6.0.3,21/03/2018_14:36:09;,delete
55926,Project_Creation,1.6.0.3,21/03/2018_14:36:41;,delete
55941,Project_Creation,1.6.0.3,21/03/2018_14:36:54;,delete
55956,Project_Creation,1.6.0.3,21/03/2018_14:37:33;,delete
55985,Project_Creation,1.6.0.3,21/03/2018_14:38:16;,delete
57014,Project_Creation,1.6.0.3,21/03/2018_14:38:36;,delete
